51
100
34 34 34   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   17 17 17   17 18 18   17 17 17   19 18 19   24 22 22   29 32 36   57 63 66   61 60 61   65 61 58   66 62 59   66 65 65   66 66 67   42 37 38   26 23 24   18 17 17   17 17 17   17 17 17   19 18 18   18 17 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   34 34 34   
13 13 13   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   1 1 1   0 0 0   0 0 0   10 8 8   28 26 26   46 44 45   46 45 49   48 47 52   49 49 51   48 50 47   50 50 48   53 51 51   58 53 55   62 56 58   54 50 51   44 43 43   23 23 23   0 0 0   0 0 0   1 0 1   1 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   13 13 13   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 2 1   1 2 1   0 0 0   19 16 15   43 38 37   41 40 37   43 44 40   49 43 45   51 45 48   48 49 50   46 51 50   49 52 52   56 52 53   61 52 55   61 56 57   57 54 55   60 59 59   60 61 61   40 40 40   3 3 3   0 0 0   2 0 1   1 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   1 2 1   1 2 1   1 1 1   1 1 1   1 1 1   6 6 6   28 25 26   44 39 39   46 41 39   34 33 29   42 43 38   48 44 42   50 45 45   47 45 47   50 49 52   52 51 55   54 51 54   57 52 54   58 55 56   58 55 56   58 57 58   57 58 58   65 65 65   50 50 50   28 28 28   1 0 0   4 1 2   2 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   0 2 1   0 2 1   0 1 1   1 1 1   2 0 1   15 12 13   43 39 40   43 39 38   43 40 39   45 44 42   45 44 42   46 46 44   48 46 44   51 46 48   54 46 51   55 49 53   53 51 54   53 53 54   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   66 67 67   55 53 54   7 3 3   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 1   1 1 1   0 2 1   0 2 1   1 1 1   0 0 0   15 11 12   42 0 37   44 40 41   41 40 41   42 41 41   44 42 43   48 43 44   47 45 46   47 45 46   50 46 47   52 48 49   54 50 52   54 51 56   54 52 57   56 56 57   57 57 57   58 58 58   58 58 58   59 59 59   61 62 62   68 66 67   52 47 48   5 3 4   0 0 0   0 1 0   1 0 0   1 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   1 2 1   1 3 2   0 1 1   10 8 9   38 33 34   43 36 39   38 0 36   39 38 39   42 41 41   44 42 43   47 43 44   48 44 47   47 45 47   48 47 47   49 49 48   52 51 51   54 50 55   55 52 57   56 56 57   57 57 57   58 58 58   58 58 58   59 59 59   63 63 63   56 56 56   71 67 69   32 28 30   0 0 0   1 2 1   1 2 1   2 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   2 0 1   1 1 1   2 1 1   1 0 0   25 21 22   42 38 39   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 61   63 64 64   68 69 71   63 59 62   11 6 10   0 0 0   0 2 1   0 2 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 0   1 0 0   0 0 0   0 0 0   4 3 3   30 26 27   38 34 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   64 63 66   71 68 72   38 36 39   1 2 2   0 1 1   1 1 1   1 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 0 0   14 12 13   37 33 34   38 33 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 61   64 64 65   65 64 67   68 67 69   66 68 69   5 8 8   0 0 0   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 2   1 1 1   1 1 0   2 1 0   28 24 24   39 33 0   38 33 36   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   65 64 67   66 67 69   63 64 66   7 7 7   2 1 1   2 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
